STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
13,Repair of Communal Irrigation Systems,,"362,000,000.00","302,905,895.94",7,2,,0,,,"112,582,539.89",,,,,,,,,,,,,,
1,CABANGARAN CIS (REPAIR CIS CY 2026),UMINGAN,"5,000,000.00","4,736,024.35",1,,15-Dec-25,,,R1-PIMO-26-11-001,"4,705,389.81",RIVBROS CONSTRUCTION FACTORS & DEVELOPERS,Waiting for the SARO/ASA - For Award,"Repair CIS - Construction of Canal Lining and Structures 
(Sta. 0+011.60 - 0+356)",,,,,,,,,,,
2,PEMIENTA CIS (REPAIR CIS CY 2026),UMINGAN,"5,000,000.00","4,747,363.80",1,,15-Dec-25,,,R1-PIMO-26-11-002,"4,697,293.88",RIVBROS CONSTRUCTION FACTORS & DEVELOPERS,Waiting for the SARO/ASA - For Award,"Repair CIS - Repair of Canal Lining and Structures @ Right Main Canal 
(Sta. 0+155.80 - 0+310.60) and Left Main Canal (0+015.10 - 0+025.10)",,,,,,,,,,,
3,SAN JOSE CIS (REPAIR CIS CY 2026),ANDA,"5,000,000.00","4,738,569.78",1,,15-Dec-25,,,R1-PIMO-26-11-003,"4,715,288.15",SZCON BUILDERS & CORPORATION,Waiting for the SARO/ASA - For Award,Repair CIS - Repair of Salt Instrusion Dam and Embankment Protection,,,,,,,,,,,
4,CONCEPCION CIS (REPAIR CIS CY 2026),UMINGAN,"5,000,000.00","4,733,457.58",1,,29-Dec-25,,,R1-PIMO-26-11-017,"4,698,419.37",VYRAGUS CONSTRUCTION,Waiting for the SARO/ASA - For Award,Repair CIS - Repair of Canal Lining and Structures (Sta. 0+011.90 - 0+182.10),,,,,,,,,,,
5,SORIANO CIS (REPAIR CIS CY 2026),MANGATAREM,"50,000,000.00","47,383,447.72",1,,5-Jan-26,,,R1-PIMO-26-12-021,"46,692,134.16",AMP 723 CONSTRUCTION CORPORATION,Waiting for the SARO/ASA - For Award,"Repair CIS - Repair of Dam and Construction of Canal Lining, Structures 
(Sta. 0+063 - 1+929.5), and Slope Protection",,,,,,,,,,,
6,NANGALISAN - CAGARLITAN CIS (REPAIR CIS CY 2026),MANGATAREM,"50,000,000.00","47,128,251.25",1,,5-Jan-26,,,R1-PIMO-26-12-022,"47,074,014.52",RIVBROS CONSTRUCTION FACTORS & DEVELOPERS,Waiting for the SARO/ASA - For Award,"Repair CIS - Construction of Canal Lining (Sta. 0+240.3 - 1+429), Structures 
and Slope Protection",,,,,,,,,,,
7,DONA RUFINA CIS (REPAIR CIS CY 2026),AGUILAR,"30,000,000.00","28,413,752.99",,1,,,,R1-PIMO-26-03-044,,,"For Posting (PhilGeps)
- March 24, 2026","Repair CIS - Rehabilitation of Dam and Construction of Canal Lining

New: Construction of Canal Lining, Canal Structure and Embankment Protection",,,,,,,,,,,
8,PRINCIPAL CIS (REPAIR CIS CY 2026),NATIVIDAD,"50,000,000.00","47,356,222.33",1,,15-Jan-26,,,R1-PIMO-26-12-027,,RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT,Bidded,Repair CIS - Repair of Dam (Continuation) and Construction of Canal Lining,,,,,,,,,,,
9,BOLAOIT CIS (REPAIR CIS CY 2026),AGUILAR,"40,000,000.00","37,920,895.83",,1,,,,R1-PIMO-26-03-045,,,"For Posting (PhilGeps)
- March 24, 2026","Repair CIS - Repair of Dam and Slope Protection

New: Construction of Embankment Protection of Dam",,,,,,,,,,,
